station,timestamp_utc,event_id,case_type,target_1h,target_2h,target_3h,sat_observation_available,sat_causal_ok,sat_features_complete,sat_age_minutes,sat_acquisition_end_utc,gId,source_filename,phase8d_split,primary_experiment_row
VABB,2025-06-14 19:00:00+00:00,VABB_TS_03_20250614T14,thunderstorm_episode,1.0,1.0,1.0,1,True,True,17.483333333333334,2025-06-14 18:42:31+00:00,15683541.0,3RIMG_14JUN2025_1815_L2B_CMK_V01R00.h5,test,True
VABB,2025-06-14 20:00:00+00:00,VABB_TS_03_20250614T14,thunderstorm_episode,1.0,1.0,1.0,1,True,True,77.48333333333333,2025-06-14 18:42:31+00:00,15683541.0,3RIMG_14JUN2025_1815_L2B_CMK_V01R00.h5,test,True
VABB,2025-06-14 22:00:00+00:00,VABB_TS_03_20250614T14,thunderstorm_episode,1.0,1.0,1.0,1,True,True,17.5,2025-06-14 21:42:30+00:00,15684365.0,3RIMG_14JUN2025_2115_L2B_CMK_V01R00.h5,test,True
VABB,2025-06-14 23:00:00+00:00,VABB_TS_03_20250614T14,thunderstorm_episode,1.0,1.0,0.0,1,True,True,77.5,2025-06-14 21:42:30+00:00,15684365.0,3RIMG_14JUN2025_2115_L2B_CMK_V01R00.h5,test,True
VABB,2025-06-15 01:00:00+00:00,VABB_TS_03_20250614T14,thunderstorm_episode,0.0,0.0,0.0,1,True,True,17.5,2025-06-15 00:42:30+00:00,15685171.0,3RIMG_15JUN2025_0015_L2B_CMK_V01R00.h5,test,True
VECC,2024-04-22 13:00:00+00:00,VECC_CTL_04_20240506T13,control,0.0,0.0,0.0,1,True,True,77.51666666666667,2024-04-22 11:42:29+00:00,13452103.0,3RIMG_22APR2024_1115_L2B_CMK_V01R00.h5,test,True
VECC,2024-04-22 16:00:00+00:00,VECC_CTL_04_20240506T13,control,0.0,0.0,0.0,1,True,True,47.516666666666666,2024-04-22 15:12:29+00:00,13452631.0,3RIMG_22APR2024_1445_L2B_CMK_V01R00.h5,test,True
VECC,2024-04-22 18:00:00+00:00,VECC_CTL_04_20240506T13,control,0.0,0.0,0.0,1,True,True,47.516666666666666,2024-04-22 17:12:29+00:00,13453089.0,3RIMG_22APR2024_1645_L2B_CMK_V01R00.h5,test,True
VECC,2024-04-23 00:00:00+00:00,VECC_CTL_04_20240506T13,control,0.0,0.0,0.0,1,True,True,17.5,2024-04-22 23:42:30+00:00,13454345.0,3RIMG_22APR2024_2315_L2B_CMK_V01R00.h5,test,True
VECC,2024-04-23 01:00:00+00:00,VECC_CTL_04_20240506T13,control,0.0,0.0,0.0,1,True,True,77.5,2024-04-22 23:42:30+00:00,13454345.0,3RIMG_22APR2024_2315_L2B_CMK_V01R00.h5,test,True
VECC,2024-05-06 13:00:00+00:00,VECC_TS_04_20240506T13,thunderstorm_episode,1.0,1.0,1.0,1,True,True,77.51666666666667,2024-05-06 11:42:29+00:00,13522375.0,3RIMG_06MAY2024_1115_L2B_CMK_V01R00.h5,test,True
VECC,2024-05-06 14:00:00+00:00,VECC_TS_04_20240506T13,thunderstorm_episode,1.0,1.0,1.0,1,True,True,17.5,2024-05-06 13:42:30+00:00,13522685.0,3RIMG_06MAY2024_1315_L2B_CMK_V01R00.h5,test,True
VECC,2024-05-06 15:00:00+00:00,VECC_TS_04_20240506T13,thunderstorm_episode,1.0,1.0,1.0,1,True,True,77.5,2024-05-06 13:42:30+00:00,13522685.0,3RIMG_06MAY2024_1315_L2B_CMK_V01R00.h5,test,True
VECC,2024-05-06 17:00:00+00:00,VECC_TS_04_20240506T13,thunderstorm_episode,1.0,1.0,1.0,1,True,True,17.5,2024-05-06 16:42:30+00:00,13522893.0,3RIMG_06MAY2024_1615_L2B_CMK_V01R00.h5,test,True
VECC,2024-05-06 18:00:00+00:00,VECC_TS_04_20240506T13,thunderstorm_episode,1.0,1.0,1.0,1,True,True,77.5,2024-05-06 16:42:30+00:00,13522893.0,3RIMG_06MAY2024_1615_L2B_CMK_V01R00.h5,test,True
VECC,2024-05-07 00:00:00+00:00,VECC_TS_04_20240506T13,thunderstorm_episode,1.0,0.0,0.0,1,True,True,17.5,2024-05-06 23:42:30+00:00,13523613.0,3RIMG_06MAY2024_2315_L2B_CMK_V01R00.h5,test,True
VECC,2024-05-07 01:00:00+00:00,VECC_TS_04_20240506T13,thunderstorm_episode,0.0,0.0,0.0,1,True,True,77.5,2024-05-06 23:42:30+00:00,13523613.0,3RIMG_06MAY2024_2315_L2B_CMK_V01R00.h5,test,True
VIDP,2025-01-10 01:00:00+00:00,VIDP_CTL_02_20241227T01,control,0.0,0.0,0.0,1,True,True,77.51666666666667,2025-01-09 23:42:29+00:00,14898193.0,3RIMG_09JAN2025_2315_L2B_CMK_V01R00.h5,test,True
VIDP,2025-01-10 05:00:00+00:00,VIDP_CTL_02_20241227T01,control,0.0,0.0,0.0,1,True,True,47.516666666666666,2025-01-10 04:12:29+00:00,14898973.0,3RIMG_10JAN2025_0345_L2B_CMK_V01R00.h5,test,True
VIDP,2025-01-10 09:00:00+00:00,VIDP_CTL_02_20241227T01,control,0.0,0.0,0.0,1,True,True,47.516666666666666,2025-01-10 08:12:29+00:00,14899791.0,3RIMG_10JAN2025_0745_L2B_CMK_V01R00.h5,test,True
VIDP,2025-01-10 12:00:00+00:00,VIDP_CTL_02_20241227T01,control,0.0,0.0,0.0,1,True,True,47.516666666666666,2025-01-10 11:12:29+00:00,14900455.0,3RIMG_10JAN2025_1045_L2B_CMK_V01R00.h5,test,True
VIDP,2025-01-10 15:00:00+00:00,VIDP_CTL_02_20241227T01,control,0.0,0.0,0.0,1,True,True,47.516666666666666,2025-01-10 14:12:29+00:00,14901031.0,3RIMG_10JAN2025_1345_L2B_CMK_V01R00.h5,test,True
VIDP,2021-12-24 19:00:00+00:00,VIDP_CTL_03_20220107T19,control,0.0,0.0,0.0,1,True,True,77.65,2021-12-24 17:42:21+00:00,9839624.0,3RIMG_24DEC2021_1715_L2B_CMK_V01R00.h5,train,True
VIDP,2021-12-24 20:00:00+00:00,VIDP_CTL_03_20220107T19,control,0.0,0.0,0.0,1,True,True,17.666666666666668,2021-12-24 19:42:20+00:00,9839792.0,3RIMG_24DEC2021_1915_L2B_CMK_V01R00.h5,train,True
VIDP,2021-12-24 21:00:00+00:00,VIDP_CTL_03_20220107T19,control,0.0,0.0,0.0,1,True,True,77.66666666666667,2021-12-24 19:42:20+00:00,9839792.0,3RIMG_24DEC2021_1915_L2B_CMK_V01R00.h5,train,True
VIDP,2021-12-24 23:00:00+00:00,VIDP_CTL_03_20220107T19,control,0.0,0.0,0.0,1,True,True,17.65,2021-12-24 22:42:21+00:00,9840126.0,3RIMG_24DEC2021_2215_L2B_CMK_V01R00.h5,train,True
VIDP,2021-12-25 00:00:00+00:00,VIDP_CTL_03_20220107T19,control,0.0,0.0,0.0,1,True,True,77.65,2021-12-24 22:42:21+00:00,9840126.0,3RIMG_24DEC2021_2215_L2B_CMK_V01R00.h5,train,True
VIDP,2021-12-25 01:00:00+00:00,VIDP_CTL_03_20220107T19,control,0.0,0.0,0.0,1,True,True,17.65,2021-12-25 00:42:21+00:00,9840286.0,3RIMG_25DEC2021_0015_L2B_CMK_V01R00.h5,train,True
VIDP,2021-12-25 02:00:00+00:00,VIDP_CTL_03_20220107T19,control,0.0,0.0,0.0,1,True,True,77.65,2021-12-25 00:42:21+00:00,9840286.0,3RIMG_25DEC2021_0015_L2B_CMK_V01R00.h5,train,True
VIDP,2024-12-27 01:00:00+00:00,VIDP_TS_02_20241227T01,thunderstorm_episode,1.0,1.0,1.0,1,True,True,77.53333333333333,2024-12-26 23:42:28+00:00,14828185.0,3RIMG_26DEC2024_2315_L2B_CMK_V01R00.h5,test,True
VIDP,2024-12-27 03:00:00+00:00,VIDP_TS_02_20241227T01,thunderstorm_episode,1.0,0.0,1.0,1,True,True,17.533333333333335,2024-12-27 02:42:28+00:00,14828789.0,3RIMG_27DEC2024_0215_L2B_CMK_V01R00.h5,test,True
VIDP,2024-12-27 04:00:00+00:00,VIDP_TS_02_20241227T01,thunderstorm_episode,0.0,1.0,1.0,1,True,True,77.53333333333333,2024-12-27 02:42:28+00:00,14828789.0,3RIMG_27DEC2024_0215_L2B_CMK_V01R00.h5,test,True
VIDP,2024-12-27 08:00:00+00:00,VIDP_TS_02_20241227T01,thunderstorm_episode,1.0,1.0,1.0,1,True,True,17.55,2024-12-27 07:42:27+00:00,14830247.0,3RIMG_27DEC2024_0715_L2B_CMK_V01R00.h5,test,True
VIDP,2024-12-27 09:00:00+00:00,VIDP_TS_02_20241227T01,thunderstorm_episode,1.0,1.0,1.0,1,True,True,77.55,2024-12-27 07:42:27+00:00,14830247.0,3RIMG_27DEC2024_0715_L2B_CMK_V01R00.h5,test,True
VIDP,2024-12-27 12:00:00+00:00,VIDP_TS_02_20241227T01,thunderstorm_episode,1.0,1.0,1.0,1,True,True,17.55,2024-12-27 11:42:27+00:00,14831899.0,3RIMG_27DEC2024_1115_L2B_CMK_V01R00.h5,test,True
VIDP,2024-12-27 13:00:00+00:00,VIDP_TS_02_20241227T01,thunderstorm_episode,1.0,1.0,0.0,1,True,True,77.55,2024-12-27 11:42:27+00:00,14831899.0,3RIMG_27DEC2024_1115_L2B_CMK_V01R00.h5,test,True
VIDP,2024-12-27 15:00:00+00:00,VIDP_TS_02_20241227T01,thunderstorm_episode,0.0,0.0,1.0,1,True,True,17.533333333333335,2024-12-27 14:42:28+00:00,14832489.0,3RIMG_27DEC2024_1415_L2B_CMK_V01R00.h5,test,True
VIDP,2022-01-07 19:00:00+00:00,VIDP_TS_03_20220107T19,thunderstorm_episode,1.0,1.0,1.0,1,True,True,77.65,2022-01-07 17:42:21+00:00,9877886.0,3RIMG_07JAN2022_1715_L2B_CMK_V01R00.h5,train,True
VIDP,2022-01-07 21:00:00+00:00,VIDP_TS_03_20220107T19,thunderstorm_episode,1.0,1.0,1.0,1,True,True,17.65,2022-01-07 20:42:21+00:00,9878125.0,3RIMG_07JAN2022_2015_L2B_CMK_V01R00.h5,train,True
VIDP,2022-01-07 22:00:00+00:00,VIDP_TS_03_20220107T19,thunderstorm_episode,1.0,1.0,1.0,1,True,True,77.65,2022-01-07 20:42:21+00:00,9878125.0,3RIMG_07JAN2022_2015_L2B_CMK_V01R00.h5,train,True
VIDP,2022-01-08 00:00:00+00:00,VIDP_TS_03_20220107T19,thunderstorm_episode,1.0,1.0,1.0,1,True,True,17.666666666666668,2022-01-07 23:42:20+00:00,9878374.0,3RIMG_07JAN2022_2315_L2B_CMK_V01R00.h5,train,True
VIDP,2022-01-08 01:00:00+00:00,VIDP_TS_03_20220107T19,thunderstorm_episode,1.0,1.0,1.0,1,True,True,77.66666666666667,2022-01-07 23:42:20+00:00,9878374.0,3RIMG_07JAN2022_2315_L2B_CMK_V01R00.h5,train,True
VIDP,2022-01-08 04:00:00+00:00,VIDP_TS_03_20220107T19,thunderstorm_episode,1.0,1.0,1.0,1,True,True,17.666666666666668,2022-01-08 03:42:20+00:00,9878696.0,3RIMG_08JAN2022_0315_L2B_CMK_V01R00.h5,train,True
VIDP,2022-01-08 05:00:00+00:00,VIDP_TS_03_20220107T19,thunderstorm_episode,1.0,1.0,0.0,1,True,True,77.66666666666667,2022-01-08 03:42:20+00:00,9878696.0,3RIMG_08JAN2022_0315_L2B_CMK_V01R00.h5,train,True
VIDP,2022-01-08 07:00:00+00:00,VIDP_TS_03_20220107T19,thunderstorm_episode,0.0,0.0,0.0,1,True,True,17.666666666666668,2022-01-08 06:42:20+00:00,9879010.0,3RIMG_08JAN2022_0615_L2B_CMK_V01R00.h5,train,True
VOCI,2023-10-20 08:00:00+00:00,VOCI_CTL_02_20231103T08,control,0.0,0.0,0.0,1,True,True,77.61666666666666,2023-10-20 06:42:23+00:00,12472515.0,3RIMG_20OCT2023_0615_L2B_CMK_V01R00.h5,validation,True
VOCI,2023-10-20 10:00:00+00:00,VOCI_CTL_02_20231103T08,control,0.0,0.0,0.0,1,True,True,17.633333333333333,2023-10-20 09:42:22+00:00,12473275.0,3RIMG_20OCT2023_0915_L2B_CMK_V01R00.h5,validation,True
VOCI,2023-10-20 11:00:00+00:00,VOCI_CTL_02_20231103T08,control,0.0,0.0,0.0,1,True,True,77.63333333333334,2023-10-20 09:42:22+00:00,12473275.0,3RIMG_20OCT2023_0915_L2B_CMK_V01R00.h5,validation,True
VOCI,2023-10-20 12:00:00+00:00,VOCI_CTL_02_20231103T08,control,0.0,0.0,0.0,1,True,True,17.616666666666667,2023-10-20 11:42:23+00:00,12473603.0,3RIMG_20OCT2023_1115_L2B_CMK_V01R00.h5,validation,True
VOCI,2023-10-20 13:00:00+00:00,VOCI_CTL_02_20231103T08,control,0.0,0.0,0.0,1,True,True,77.61666666666666,2023-10-20 11:42:23+00:00,12473603.0,3RIMG_20OCT2023_1115_L2B_CMK_V01R00.h5,validation,True
VOCI,2023-10-20 15:00:00+00:00,VOCI_CTL_02_20231103T08,control,0.0,0.0,0.0,1,True,True,17.616666666666667,2023-10-20 14:42:23+00:00,12474125.0,3RIMG_20OCT2023_1415_L2B_CMK_V01R00.h5,validation,True
VOCI,2023-10-20 16:00:00+00:00,VOCI_CTL_02_20231103T08,control,0.0,0.0,0.0,1,True,True,77.61666666666666,2023-10-20 14:42:23+00:00,12474125.0,3RIMG_20OCT2023_1415_L2B_CMK_V01R00.h5,validation,True
VOCI,2023-10-20 17:00:00+00:00,VOCI_CTL_02_20231103T08,control,0.0,0.0,0.0,1,True,True,17.616666666666667,2023-10-20 16:42:23+00:00,12474561.0,3RIMG_20OCT2023_1615_L2B_CMK_V01R00.h5,validation,True
VOCI,2023-10-20 18:00:00+00:00,VOCI_CTL_02_20231103T08,control,0.0,0.0,0.0,1,True,True,77.61666666666666,2023-10-20 16:42:23+00:00,12474561.0,3RIMG_20OCT2023_1615_L2B_CMK_V01R00.h5,validation,True
VOCI,2023-11-03 08:00:00+00:00,VOCI_TS_02_20231103T08,thunderstorm_episode,1.0,,1.0,1,True,True,77.66666666666667,2023-11-03 06:42:20+00:00,12551955.0,3RIMG_03NOV2023_0615_L2B_CMK_V01R00.h5,validation,True
VOCI,2023-11-03 10:00:00+00:00,VOCI_TS_02_20231103T08,thunderstorm_episode,1.0,1.0,1.0,1,True,True,17.666666666666668,2023-11-03 09:42:20+00:00,12552771.0,3RIMG_03NOV2023_0915_L2B_CMK_V01R00.h5,validation,True
VOCI,2023-11-03 11:00:00+00:00,VOCI_TS_02_20231103T08,thunderstorm_episode,1.0,1.0,1.0,1,True,True,77.66666666666667,2023-11-03 09:42:20+00:00,12552771.0,3RIMG_03NOV2023_0915_L2B_CMK_V01R00.h5,validation,True
VOCI,2023-11-03 12:00:00+00:00,VOCI_TS_02_20231103T08,thunderstorm_episode,1.0,1.0,1.0,1,True,True,17.666666666666668,2023-11-03 11:42:20+00:00,12553225.0,3RIMG_03NOV2023_1115_L2B_CMK_V01R00.h5,validation,True
VOCI,2023-11-03 13:00:00+00:00,VOCI_TS_02_20231103T08,thunderstorm_episode,1.0,1.0,1.0,1,True,True,77.66666666666667,2023-11-03 11:42:20+00:00,12553225.0,3RIMG_03NOV2023_1115_L2B_CMK_V01R00.h5,validation,True
VOCI,2023-11-03 15:00:00+00:00,VOCI_TS_02_20231103T08,thunderstorm_episode,1.0,1.0,1.0,1,True,True,17.666666666666668,2023-11-03 14:42:20+00:00,12553871.0,3RIMG_03NOV2023_1415_L2B_CMK_V01R00.h5,validation,True
VOCI,2023-11-03 16:00:00+00:00,VOCI_TS_02_20231103T08,thunderstorm_episode,1.0,1.0,1.0,1,True,True,77.66666666666667,2023-11-03 14:42:20+00:00,12553871.0,3RIMG_03NOV2023_1415_L2B_CMK_V01R00.h5,validation,True
VOCI,2023-11-03 17:00:00+00:00,VOCI_TS_02_20231103T08,thunderstorm_episode,1.0,1.0,1.0,1,True,True,17.65,2023-11-03 16:42:21+00:00,12554279.0,3RIMG_03NOV2023_1615_L2B_CMK_V01R00.h5,validation,True
VOCI,2023-11-03 18:00:00+00:00,VOCI_TS_02_20231103T08,thunderstorm_episode,1.0,1.0,1.0,1,True,True,77.65,2023-11-03 16:42:21+00:00,12554279.0,3RIMG_03NOV2023_1615_L2B_CMK_V01R00.h5,validation,True
