gId,filename,catalog_timestamp_utc,station,event_id,case_type
4947250,3RIMG_04MAY2017_1415_L2B_CMK_V01R00.h5,2017-05-04T14:15:00Z,VOTV,VOTV_CTL_03_20170518T08,control
4947322,3RIMG_04MAY2017_1445_L2B_CMK_V01R00.h5,2017-05-04T14:45:00Z,VOTV,VOTV_CTL_03_20170518T08,control
4947366,3RIMG_04MAY2017_1515_L2B_CMK_V01R00.h5,2017-05-04T15:15:00Z,VOTV,VOTV_CTL_03_20170518T08,control
4947425,3RIMG_04MAY2017_1545_L2B_CMK_V01R00.h5,2017-05-04T15:45:00Z,VOTV,VOTV_CTL_03_20170518T08,control
4947473,3RIMG_04MAY2017_1615_L2B_CMK_V01R00.h5,2017-05-04T16:15:00Z,VOTV,VOTV_CTL_03_20170518T08,control
4947519,3RIMG_04MAY2017_1645_L2B_CMK_V01R00.h5,2017-05-04T16:45:00Z,VOTV,VOTV_CTL_03_20170518T08,control
4947571,3RIMG_04MAY2017_1715_L2B_CMK_V01R00.h5,2017-05-04T17:15:00Z,VOTV,VOTV_CTL_03_20170518T08,control
4947728,3RIMG_04MAY2017_2215_L2B_CMK_V01R00.h5,2017-05-04T22:15:00Z,VOTV,VOTV_CTL_03_20170518T08,control
4947769,3RIMG_04MAY2017_2245_L2B_CMK_V01R00.h5,2017-05-04T22:45:00Z,VOTV,VOTV_CTL_03_20170518T08,control
4972558,3RIMG_12MAY2017_0915_L2B_CMK_V01R00.h5,2017-05-12T09:15:00Z,VOCI,VOCI_TS_01_20170512T11,thunderstorm_episode
4972695,3RIMG_12MAY2017_0945_L2B_CMK_V01R00.h5,2017-05-12T09:45:00Z,VOCI,VOCI_TS_01_20170512T11,thunderstorm_episode
4972682,3RIMG_12MAY2017_1015_L2B_CMK_V01R00.h5,2017-05-12T10:15:00Z,VOCI,VOCI_TS_01_20170512T11,thunderstorm_episode
4972760,3RIMG_12MAY2017_1045_L2B_CMK_V01R00.h5,2017-05-12T10:45:00Z,VOCI,VOCI_TS_01_20170512T11,thunderstorm_episode
4972826,3RIMG_12MAY2017_1115_L2B_CMK_V01R00.h5,2017-05-12T11:15:00Z,VOCI,VOCI_TS_01_20170512T11,thunderstorm_episode
4972884,3RIMG_12MAY2017_1145_L2B_CMK_V01R00.h5,2017-05-12T11:45:00Z,VOCI,VOCI_TS_01_20170512T11,thunderstorm_episode
4972952,3RIMG_12MAY2017_1215_L2B_CMK_V01R00.h5,2017-05-12T12:15:00Z,VOCI,VOCI_TS_01_20170512T11,thunderstorm_episode
4973008,3RIMG_12MAY2017_1245_L2B_CMK_V01R00.h5,2017-05-12T12:45:00Z,VOCI,VOCI_TS_01_20170512T11,thunderstorm_episode
4972951,3RIMG_12MAY2017_1315_L2B_CMK_V01R00.h5,2017-05-12T13:15:00Z,VOCI,VOCI_TS_01_20170512T11,thunderstorm_episode
4972920,3RIMG_12MAY2017_1345_L2B_CMK_V01R00.h5,2017-05-12T13:45:00Z,VOCI,VOCI_TS_01_20170512T11,thunderstorm_episode
4973041,3RIMG_12MAY2017_1415_L2B_CMK_V01R00.h5,2017-05-12T14:15:00Z,VOCI,VOCI_TS_01_20170512T11,thunderstorm_episode
4973105,3RIMG_12MAY2017_1445_L2B_CMK_V01R00.h5,2017-05-12T14:45:00Z,VOCI,VOCI_TS_01_20170512T11,thunderstorm_episode
4973186,3RIMG_12MAY2017_1515_L2B_CMK_V01R00.h5,2017-05-12T15:15:00Z,VOCI,VOCI_TS_01_20170512T11,thunderstorm_episode
4973235,3RIMG_12MAY2017_1545_L2B_CMK_V01R00.h5,2017-05-12T15:45:00Z,VOCI,VOCI_TS_01_20170512T11,thunderstorm_episode
4973304,3RIMG_12MAY2017_1615_L2B_CMK_V01R00.h5,2017-05-12T16:15:00Z,VOCI,VOCI_TS_01_20170512T11,thunderstorm_episode
4973342,3RIMG_12MAY2017_1645_L2B_CMK_V01R00.h5,2017-05-12T16:45:00Z,VOCI,VOCI_TS_01_20170512T11,thunderstorm_episode
4973409,3RIMG_12MAY2017_1715_L2B_CMK_V01R00.h5,2017-05-12T17:15:00Z,VOCI,VOCI_TS_01_20170512T11,thunderstorm_episode
4973608,3RIMG_12MAY2017_2215_L2B_CMK_V01R00.h5,2017-05-12T22:15:00Z,VOCI,VOCI_TS_01_20170512T11,thunderstorm_episode
4973666,3RIMG_12MAY2017_2245_L2B_CMK_V01R00.h5,2017-05-12T22:45:00Z,VOCI,VOCI_TS_01_20170512T11,thunderstorm_episode
4973718,3RIMG_12MAY2017_2315_L2B_CMK_V01R00.h5,2017-05-12T23:15:00Z,VOCI,VOCI_TS_01_20170512T11,thunderstorm_episode
4973783,3RIMG_12MAY2017_2345_L2B_CMK_V01R00.h5,2017-05-12T23:45:00Z,VOCI,VOCI_TS_01_20170512T11,thunderstorm_episode
4973834,3RIMG_13MAY2017_0015_L2B_CMK_V01R00.h5,2017-05-13T00:15:00Z,VOCI,VOCI_TS_01_20170512T11,thunderstorm_episode
4973859,3RIMG_13MAY2017_0045_L2B_CMK_V01R00.h5,2017-05-13T00:45:00Z,VOCI,VOCI_TS_01_20170512T11,thunderstorm_episode
4973914,3RIMG_13MAY2017_0115_L2B_CMK_V01R00.h5,2017-05-13T01:15:00Z,VOCI,VOCI_TS_01_20170512T11,thunderstorm_episode
4973968,3RIMG_13MAY2017_0145_L2B_CMK_V01R00.h5,2017-05-13T01:45:00Z,VOCI,VOCI_TS_01_20170512T11,thunderstorm_episode
4974014,3RIMG_13MAY2017_0215_L2B_CMK_V01R00.h5,2017-05-13T02:15:00Z,VOCI,VOCI_TS_01_20170512T11,thunderstorm_episode
4974091,3RIMG_13MAY2017_0245_L2B_CMK_V01R00.h5,2017-05-13T02:45:00Z,VOCI,VOCI_TS_01_20170512T11,thunderstorm_episode
4987789,3RIMG_18MAY2017_0615_L2B_CMK_V01R00.h5,2017-05-18T06:15:00Z,VOTV,VOTV_TS_03_20170518T08,thunderstorm_episode
4987572,3RIMG_18MAY2017_0645_L2B_CMK_V01R00.h5,2017-05-18T06:45:00Z,VOTV,VOTV_TS_03_20170518T08,thunderstorm_episode
4987697,3RIMG_18MAY2017_0715_L2B_CMK_V01R00.h5,2017-05-18T07:15:00Z,VOTV,VOTV_TS_03_20170518T08,thunderstorm_episode
4987757,3RIMG_18MAY2017_0745_L2B_CMK_V01R00.h5,2017-05-18T07:45:00Z,VOTV,VOTV_TS_03_20170518T08,thunderstorm_episode
4987946,3RIMG_18MAY2017_0815_L2B_CMK_V01R00.h5,2017-05-18T08:15:00Z,VOTV,VOTV_TS_03_20170518T08,thunderstorm_episode
4988018,3RIMG_18MAY2017_0845_L2B_CMK_V01R00.h5,2017-05-18T08:45:00Z,VOTV,VOTV_TS_03_20170518T08,thunderstorm_episode
4988165,3RIMG_18MAY2017_0915_L2B_CMK_V01R00.h5,2017-05-18T09:15:00Z,VOTV,VOTV_TS_03_20170518T08,thunderstorm_episode
4988213,3RIMG_18MAY2017_0945_L2B_CMK_V01R00.h5,2017-05-18T09:45:00Z,VOTV,VOTV_TS_03_20170518T08,thunderstorm_episode
4988287,3RIMG_18MAY2017_1015_L2B_CMK_V01R00.h5,2017-05-18T10:15:00Z,VOTV,VOTV_TS_03_20170518T08,thunderstorm_episode
4988491,3RIMG_18MAY2017_1045_L2B_CMK_V01R00.h5,2017-05-18T10:45:00Z,VOTV,VOTV_TS_03_20170518T08,thunderstorm_episode
4988481,3RIMG_18MAY2017_1115_L2B_CMK_V01R00.h5,2017-05-18T11:15:00Z,VOTV,VOTV_TS_03_20170518T08,thunderstorm_episode
4988678,3RIMG_18MAY2017_1145_L2B_CMK_V01R00.h5,2017-05-18T11:45:00Z,VOTV,VOTV_TS_03_20170518T08,thunderstorm_episode
4988766,3RIMG_18MAY2017_1215_L2B_CMK_V01R00.h5,2017-05-18T12:15:00Z,VOTV,VOTV_TS_03_20170518T08,thunderstorm_episode
4988837,3RIMG_18MAY2017_1245_L2B_CMK_V01R00.h5,2017-05-18T12:45:00Z,VOTV,VOTV_TS_03_20170518T08,thunderstorm_episode
4988985,3RIMG_18MAY2017_1315_L2B_CMK_V01R00.h5,2017-05-18T13:15:00Z,VOTV,VOTV_TS_03_20170518T08,thunderstorm_episode
4989054,3RIMG_18MAY2017_1345_L2B_CMK_V01R00.h5,2017-05-18T13:45:00Z,VOTV,VOTV_TS_03_20170518T08,thunderstorm_episode
4989182,3RIMG_18MAY2017_1415_L2B_CMK_V01R00.h5,2017-05-18T14:15:00Z,VOTV,VOTV_TS_03_20170518T08,thunderstorm_episode
4989271,3RIMG_18MAY2017_1445_L2B_CMK_V01R00.h5,2017-05-18T14:45:00Z,VOTV,VOTV_TS_03_20170518T08,thunderstorm_episode
4989405,3RIMG_18MAY2017_1515_L2B_CMK_V01R00.h5,2017-05-18T15:15:00Z,VOTV,VOTV_TS_03_20170518T08,thunderstorm_episode
4989486,3RIMG_18MAY2017_1545_L2B_CMK_V01R00.h5,2017-05-18T15:45:00Z,VOTV,VOTV_TS_03_20170518T08,thunderstorm_episode
4989556,3RIMG_18MAY2017_1615_L2B_CMK_V01R00.h5,2017-05-18T16:15:00Z,VOTV,VOTV_TS_03_20170518T08,thunderstorm_episode
4989674,3RIMG_18MAY2017_1645_L2B_CMK_V01R00.h5,2017-05-18T16:45:00Z,VOTV,VOTV_TS_03_20170518T08,thunderstorm_episode
4989790,3RIMG_18MAY2017_1715_L2B_CMK_V01R00.h5,2017-05-18T17:15:00Z,VOTV,VOTV_TS_03_20170518T08,thunderstorm_episode
4989846,3RIMG_18MAY2017_1745_L2B_CMK_V01R00.h5,2017-05-18T17:45:00Z,VOTV,VOTV_TS_03_20170518T08,thunderstorm_episode
4990531,3RIMG_18MAY2017_2215_L2B_CMK_V01R00.h5,2017-05-18T22:15:00Z,VOTV,VOTV_TS_03_20170518T08,thunderstorm_episode
4990680,3RIMG_18MAY2017_2245_L2B_CMK_V01R00.h5,2017-05-18T22:45:00Z,VOTV,VOTV_TS_03_20170518T08,thunderstorm_episode
5033170,3RIMG_02JUN2017_0915_L2B_CMK_V01R00.h5,2017-06-02T09:15:00Z,VOCI,VOCI_CTL_01_20170512T11,control
5033217,3RIMG_02JUN2017_0945_L2B_CMK_V01R00.h5,2017-06-02T09:45:00Z,VOCI,VOCI_CTL_01_20170512T11,control
5033298,3RIMG_02JUN2017_1015_L2B_CMK_V01R00.h5,2017-06-02T10:15:00Z,VOCI,VOCI_CTL_01_20170512T11,control
5033442,3RIMG_02JUN2017_1045_L2B_CMK_V01R00.h5,2017-06-02T10:45:00Z,VOCI,VOCI_CTL_01_20170512T11,control
5033497,3RIMG_02JUN2017_1115_L2B_CMK_V01R00.h5,2017-06-02T11:15:00Z,VOCI,VOCI_CTL_01_20170512T11,control
5033571,3RIMG_02JUN2017_1145_L2B_CMK_V01R00.h5,2017-06-02T11:45:00Z,VOCI,VOCI_CTL_01_20170512T11,control
5033644,3RIMG_02JUN2017_1215_L2B_CMK_V01R00.h5,2017-06-02T12:15:00Z,VOCI,VOCI_CTL_01_20170512T11,control
5033691,3RIMG_02JUN2017_1245_L2B_CMK_V01R00.h5,2017-06-02T12:45:00Z,VOCI,VOCI_CTL_01_20170512T11,control
5033780,3RIMG_02JUN2017_1315_L2B_CMK_V01R00.h5,2017-06-02T13:15:00Z,VOCI,VOCI_CTL_01_20170512T11,control
5033850,3RIMG_02JUN2017_1345_L2B_CMK_V01R00.h5,2017-06-02T13:45:00Z,VOCI,VOCI_CTL_01_20170512T11,control
5033893,3RIMG_02JUN2017_1415_L2B_CMK_V01R00.h5,2017-06-02T14:15:00Z,VOCI,VOCI_CTL_01_20170512T11,control
5033979,3RIMG_02JUN2017_1445_L2B_CMK_V01R00.h5,2017-06-02T14:45:00Z,VOCI,VOCI_CTL_01_20170512T11,control
5034007,3RIMG_02JUN2017_1515_L2B_CMK_V01R00.h5,2017-06-02T15:15:00Z,VOCI,VOCI_CTL_01_20170512T11,control
5034090,3RIMG_02JUN2017_1545_L2B_CMK_V01R00.h5,2017-06-02T15:45:00Z,VOCI,VOCI_CTL_01_20170512T11,control
5034143,3RIMG_02JUN2017_1615_L2B_CMK_V01R00.h5,2017-06-02T16:15:00Z,VOCI,VOCI_CTL_01_20170512T11,control
5034208,3RIMG_02JUN2017_1645_L2B_CMK_V01R00.h5,2017-06-02T16:45:00Z,VOCI,VOCI_CTL_01_20170512T11,control
5034266,3RIMG_02JUN2017_1715_L2B_CMK_V01R00.h5,2017-06-02T17:15:00Z,VOCI,VOCI_CTL_01_20170512T11,control
5034299,3RIMG_02JUN2017_1745_L2B_CMK_V01R00.h5,2017-06-02T17:45:00Z,VOCI,VOCI_CTL_01_20170512T11,control
5034383,3RIMG_02JUN2017_1815_L2B_CMK_V01R00.h5,2017-06-02T18:15:00Z,VOCI,VOCI_CTL_01_20170512T11,control
5034623,3RIMG_02JUN2017_2045_L2B_CMK_V01R00.h5,2017-06-02T20:45:00Z,VOCI,VOCI_CTL_01_20170512T11,control
5034705,3RIMG_02JUN2017_2115_L2B_CMK_V01R00.h5,2017-06-02T21:15:00Z,VOCI,VOCI_CTL_01_20170512T11,control
5034766,3RIMG_02JUN2017_2145_L2B_CMK_V01R00.h5,2017-06-02T21:45:00Z,VOCI,VOCI_CTL_01_20170512T11,control
5034831,3RIMG_02JUN2017_2215_L2B_CMK_V01R00.h5,2017-06-02T22:15:00Z,VOCI,VOCI_CTL_01_20170512T11,control
5034892,3RIMG_02JUN2017_2245_L2B_CMK_V01R00.h5,2017-06-02T22:45:00Z,VOCI,VOCI_CTL_01_20170512T11,control
5034967,3RIMG_02JUN2017_2315_L2B_CMK_V01R00.h5,2017-06-02T23:15:00Z,VOCI,VOCI_CTL_01_20170512T11,control
5034991,3RIMG_02JUN2017_2345_L2B_CMK_V01R00.h5,2017-06-02T23:45:00Z,VOCI,VOCI_CTL_01_20170512T11,control
5035093,3RIMG_03JUN2017_0015_L2B_CMK_V01R00.h5,2017-06-03T00:15:00Z,VOCI,VOCI_CTL_01_20170512T11,control
5035203,3RIMG_03JUN2017_0045_L2B_CMK_V01R00.h5,2017-06-03T00:45:00Z,VOCI,VOCI_CTL_01_20170512T11,control
5035247,3RIMG_03JUN2017_0115_L2B_CMK_V01R00.h5,2017-06-03T01:15:00Z,VOCI,VOCI_CTL_01_20170512T11,control
5035311,3RIMG_03JUN2017_0145_L2B_CMK_V01R00.h5,2017-06-03T01:45:00Z,VOCI,VOCI_CTL_01_20170512T11,control
5035418,3RIMG_03JUN2017_0215_L2B_CMK_V01R00.h5,2017-06-03T02:15:00Z,VOCI,VOCI_CTL_01_20170512T11,control
5035503,3RIMG_03JUN2017_0245_L2B_CMK_V01R00.h5,2017-06-03T02:45:00Z,VOCI,VOCI_CTL_01_20170512T11,control
5042102,3RIMG_05JUN2017_0815_L2B_CMK_V01R00.h5,2017-06-05T08:15:00Z,VECC,VECC_CTL_01_20170619T10,control
5042150,3RIMG_05JUN2017_0845_L2B_CMK_V01R00.h5,2017-06-05T08:45:00Z,VECC,VECC_CTL_01_20170619T10,control
5042210,3RIMG_05JUN2017_0915_L2B_CMK_V01R00.h5,2017-06-05T09:15:00Z,VECC,VECC_CTL_01_20170619T10,control
5042271,3RIMG_05JUN2017_0945_L2B_CMK_V01R00.h5,2017-06-05T09:45:00Z,VECC,VECC_CTL_01_20170619T10,control
5042335,3RIMG_05JUN2017_1015_L2B_CMK_V01R00.h5,2017-06-05T10:15:00Z,VECC,VECC_CTL_01_20170619T10,control
5042379,3RIMG_05JUN2017_1045_L2B_CMK_V01R00.h5,2017-06-05T10:45:00Z,VECC,VECC_CTL_01_20170619T10,control
5042432,3RIMG_05JUN2017_1115_L2B_CMK_V01R00.h5,2017-06-05T11:15:00Z,VECC,VECC_CTL_01_20170619T10,control
5042468,3RIMG_05JUN2017_1145_L2B_CMK_V01R00.h5,2017-06-05T11:45:00Z,VECC,VECC_CTL_01_20170619T10,control
5042514,3RIMG_05JUN2017_1215_L2B_CMK_V01R00.h5,2017-06-05T12:15:00Z,VECC,VECC_CTL_01_20170619T10,control
5042568,3RIMG_05JUN2017_1245_L2B_CMK_V01R00.h5,2017-06-05T12:45:00Z,VECC,VECC_CTL_01_20170619T10,control
5042600,3RIMG_05JUN2017_1315_L2B_CMK_V01R00.h5,2017-06-05T13:15:00Z,VECC,VECC_CTL_01_20170619T10,control
5042674,3RIMG_05JUN2017_1345_L2B_CMK_V01R00.h5,2017-06-05T13:45:00Z,VECC,VECC_CTL_01_20170619T10,control
5042741,3RIMG_05JUN2017_1415_L2B_CMK_V01R00.h5,2017-06-05T14:15:00Z,VECC,VECC_CTL_01_20170619T10,control
5042781,3RIMG_05JUN2017_1445_L2B_CMK_V01R00.h5,2017-06-05T14:45:00Z,VECC,VECC_CTL_01_20170619T10,control
5042834,3RIMG_05JUN2017_1515_L2B_CMK_V01R00.h5,2017-06-05T15:15:00Z,VECC,VECC_CTL_01_20170619T10,control
5042866,3RIMG_05JUN2017_1545_L2B_CMK_V01R00.h5,2017-06-05T15:45:00Z,VECC,VECC_CTL_01_20170619T10,control
5042946,3RIMG_05JUN2017_1615_L2B_CMK_V01R00.h5,2017-06-05T16:15:00Z,VECC,VECC_CTL_01_20170619T10,control
5042989,3RIMG_05JUN2017_1645_L2B_CMK_V01R00.h5,2017-06-05T16:45:00Z,VECC,VECC_CTL_01_20170619T10,control
5043047,3RIMG_05JUN2017_1715_L2B_CMK_V01R00.h5,2017-06-05T17:15:00Z,VECC,VECC_CTL_01_20170619T10,control
5043102,3RIMG_05JUN2017_1745_L2B_CMK_V01R00.h5,2017-06-05T17:45:00Z,VECC,VECC_CTL_01_20170619T10,control
5043149,3RIMG_05JUN2017_1815_L2B_CMK_V01R00.h5,2017-06-05T18:15:00Z,VECC,VECC_CTL_01_20170619T10,control
5043286,3RIMG_05JUN2017_1945_L2B_CMK_V01R00.h5,2017-06-05T19:45:00Z,VECC,VECC_CTL_01_20170619T10,control
5043340,3RIMG_05JUN2017_2015_L2B_CMK_V01R00.h5,2017-06-05T20:15:00Z,VECC,VECC_CTL_01_20170619T10,control
5043365,3RIMG_05JUN2017_2045_L2B_CMK_V01R00.h5,2017-06-05T20:45:00Z,VECC,VECC_CTL_01_20170619T10,control
5043434,3RIMG_05JUN2017_2115_L2B_CMK_V01R00.h5,2017-06-05T21:15:00Z,VECC,VECC_CTL_01_20170619T10,control
5043486,3RIMG_05JUN2017_2145_L2B_CMK_V01R00.h5,2017-06-05T21:45:00Z,VECC,VECC_CTL_01_20170619T10,control
5043518,3RIMG_05JUN2017_2215_L2B_CMK_V01R00.h5,2017-06-05T22:15:00Z,VECC,VECC_CTL_01_20170619T10,control
5043574,3RIMG_05JUN2017_2245_L2B_CMK_V01R00.h5,2017-06-05T22:45:00Z,VECC,VECC_CTL_01_20170619T10,control
5043637,3RIMG_05JUN2017_2315_L2B_CMK_V01R00.h5,2017-06-05T23:15:00Z,VECC,VECC_CTL_01_20170619T10,control
5043670,3RIMG_05JUN2017_2345_L2B_CMK_V01R00.h5,2017-06-05T23:45:00Z,VECC,VECC_CTL_01_20170619T10,control
5043718,3RIMG_06JUN2017_0015_L2B_CMK_V01R00.h5,2017-06-06T00:15:00Z,VECC,VECC_CTL_01_20170619T10,control
5043792,3RIMG_06JUN2017_0045_L2B_CMK_V01R00.h5,2017-06-06T00:45:00Z,VECC,VECC_CTL_01_20170619T10,control
5043872,3RIMG_06JUN2017_0115_L2B_CMK_V01R00.h5,2017-06-06T01:15:00Z,VECC,VECC_CTL_01_20170619T10,control
5043896,3RIMG_06JUN2017_0145_L2B_CMK_V01R00.h5,2017-06-06T01:45:00Z,VECC,VECC_CTL_01_20170619T10,control
5043956,3RIMG_06JUN2017_0215_L2B_CMK_V01R00.h5,2017-06-06T02:15:00Z,VECC,VECC_CTL_01_20170619T10,control
5044268,3RIMG_06JUN2017_0245_L2B_CMK_V01R00.h5,2017-06-06T02:45:00Z,VECC,VECC_CTL_01_20170619T10,control
5088143,3RIMG_19JUN2017_0815_L2B_CMK_V01R00.h5,2017-06-19T08:15:00Z,VECC,VECC_TS_01_20170619T10,thunderstorm_episode
5088232,3RIMG_19JUN2017_0845_L2B_CMK_V01R00.h5,2017-06-19T08:45:00Z,VECC,VECC_TS_01_20170619T10,thunderstorm_episode
5088329,3RIMG_19JUN2017_0915_L2B_CMK_V01R00.h5,2017-06-19T09:15:00Z,VECC,VECC_TS_01_20170619T10,thunderstorm_episode
5092243,3RIMG_19JUN2017_0945_L2B_CMK_V01R00.h5,2017-06-19T09:45:00Z,VECC,VECC_TS_01_20170619T10,thunderstorm_episode
5088496,3RIMG_19JUN2017_1015_L2B_CMK_V01R00.h5,2017-06-19T10:15:00Z,VECC,VECC_TS_01_20170619T10,thunderstorm_episode
5088589,3RIMG_19JUN2017_1052_L2B_CMK_V01R00.h5,2017-06-19T10:52:00Z,VECC,VECC_TS_01_20170619T10,thunderstorm_episode
5088680,3RIMG_19JUN2017_1115_L2B_CMK_V01R00.h5,2017-06-19T11:15:00Z,VECC,VECC_TS_01_20170619T10,thunderstorm_episode
5088785,3RIMG_19JUN2017_1150_L2B_CMK_V01R00.h5,2017-06-19T11:50:00Z,VECC,VECC_TS_01_20170619T10,thunderstorm_episode
5088907,3RIMG_19JUN2017_1215_L2B_CMK_V01R00.h5,2017-06-19T12:15:00Z,VECC,VECC_TS_01_20170619T10,thunderstorm_episode
5089035,3RIMG_19JUN2017_1245_L2B_CMK_V01R00.h5,2017-06-19T12:45:00Z,VECC,VECC_TS_01_20170619T10,thunderstorm_episode
5089103,3RIMG_19JUN2017_1315_L2B_CMK_V01R00.h5,2017-06-19T13:15:00Z,VECC,VECC_TS_01_20170619T10,thunderstorm_episode
5089226,3RIMG_19JUN2017_1345_L2B_CMK_V01R00.h5,2017-06-19T13:45:00Z,VECC,VECC_TS_01_20170619T10,thunderstorm_episode
5089296,3RIMG_19JUN2017_1415_L2B_CMK_V01R00.h5,2017-06-19T14:15:00Z,VECC,VECC_TS_01_20170619T10,thunderstorm_episode
5089433,3RIMG_19JUN2017_1445_L2B_CMK_V01R00.h5,2017-06-19T14:45:00Z,VECC,VECC_TS_01_20170619T10,thunderstorm_episode
5089537,3RIMG_19JUN2017_1515_L2B_CMK_V01R00.h5,2017-06-19T15:15:00Z,VECC,VECC_TS_01_20170619T10,thunderstorm_episode
5089602,3RIMG_19JUN2017_1545_L2B_CMK_V01R00.h5,2017-06-19T15:45:00Z,VECC,VECC_TS_01_20170619T10,thunderstorm_episode
5089707,3RIMG_19JUN2017_1615_L2B_CMK_V01R00.h5,2017-06-19T16:15:00Z,VECC,VECC_TS_01_20170619T10,thunderstorm_episode
5089782,3RIMG_19JUN2017_1645_L2B_CMK_V01R00.h5,2017-06-19T16:45:00Z,VECC,VECC_TS_01_20170619T10,thunderstorm_episode
5089888,3RIMG_19JUN2017_1715_L2B_CMK_V01R00.h5,2017-06-19T17:15:00Z,VECC,VECC_TS_01_20170619T10,thunderstorm_episode
5089966,3RIMG_19JUN2017_1745_L2B_CMK_V01R00.h5,2017-06-19T17:45:00Z,VECC,VECC_TS_01_20170619T10,thunderstorm_episode
5090066,3RIMG_19JUN2017_1815_L2B_CMK_V01R00.h5,2017-06-19T18:15:00Z,VECC,VECC_TS_01_20170619T10,thunderstorm_episode
5090150,3RIMG_19JUN2017_1845_L2B_CMK_V01R00.h5,2017-06-19T18:45:00Z,VECC,VECC_TS_01_20170619T10,thunderstorm_episode
5090272,3RIMG_19JUN2017_1915_L2B_CMK_V01R00.h5,2017-06-19T19:15:00Z,VECC,VECC_TS_01_20170619T10,thunderstorm_episode
5090379,3RIMG_19JUN2017_1945_L2B_CMK_V01R00.h5,2017-06-19T19:45:00Z,VECC,VECC_TS_01_20170619T10,thunderstorm_episode
5090482,3RIMG_19JUN2017_2015_L2B_CMK_V01R00.h5,2017-06-19T20:15:00Z,VECC,VECC_TS_01_20170619T10,thunderstorm_episode
5090513,3RIMG_19JUN2017_2045_L2B_CMK_V01R00.h5,2017-06-19T20:45:00Z,VECC,VECC_TS_01_20170619T10,thunderstorm_episode
5090574,3RIMG_19JUN2017_2115_L2B_CMK_V01R00.h5,2017-06-19T21:15:00Z,VECC,VECC_TS_01_20170619T10,thunderstorm_episode
5090641,3RIMG_19JUN2017_2145_L2B_CMK_V01R00.h5,2017-06-19T21:45:00Z,VECC,VECC_TS_01_20170619T10,thunderstorm_episode
5090738,3RIMG_19JUN2017_2215_L2B_CMK_V01R00.h5,2017-06-19T22:15:00Z,VECC,VECC_TS_01_20170619T10,thunderstorm_episode
5090887,3RIMG_19JUN2017_2245_L2B_CMK_V01R00.h5,2017-06-19T22:45:00Z,VECC,VECC_TS_01_20170619T10,thunderstorm_episode
5091007,3RIMG_19JUN2017_2315_L2B_CMK_V01R00.h5,2017-06-19T23:15:00Z,VECC,VECC_TS_01_20170619T10,thunderstorm_episode
5091068,3RIMG_19JUN2017_2345_L2B_CMK_V01R00.h5,2017-06-19T23:45:00Z,VECC,VECC_TS_01_20170619T10,thunderstorm_episode
5091177,3RIMG_20JUN2017_0015_L2B_CMK_V01R00.h5,2017-06-20T00:15:00Z,VECC,VECC_TS_01_20170619T10,thunderstorm_episode
